rxn_ID,ctrl_score,mean_flux,kapp,Control_score,v_Control,Cold_score,v_Cold
rxn00001_d0_f,605.1887371147722,0.0,0.0,605.1887371147722,0.0,605.1887371147722,0.0
rxn00001_d0_r,605.1887371147722,0.0,0.0,605.1887371147722,0.0,605.1887371147722,0.0
rxn00018_d0,1212.2154979681425,37.26480568955258,0.03074107347415873,1212.6427846800143,37.27794094175677,1211.1269721423864,37.231343237164495
rxn00048_d0,408.97411135615874,0.0,0.0,406.0230151131712,0.0,605.1887371147722,0.0
rxn00069_d0_f,0.8294702848933418,0.0,0.0,0.8826830491335446,0.0,0.3693573179674272,0.0
rxn00069_d0_r,0.8294702848933418,1.6763282925373133,2.0209624420154673,0.8826830491335446,1.7838692905025868,0.3693573179674272,0.7464572672957351
rxn00076_d0,323.8359944842549,0.0,0.0,116.0738818871982,0.0,605.1887371147722,0.0
rxn00077_d0_f,0.00021242095935096667,1.1948162611940298,5624.7569206197195,0.0,0.0,0.0,0.0
rxn00077_d0_r,0.00021242095935096667,1.1948162611940298,5624.7569206197195,0.0,0.0,0.0,0.0
rxn00086_d0_f,605.1887371147722,1.1944268910447762,0.001973643621887591,605.1887371147722,1.1944268910447762,605.1887371147722,1.1944268910447762
rxn00086_d0_r,605.1887371147722,1.2657054611940204,0.002091422697699649,605.1887371147722,1.2657054611940204,605.1887371147722,1.2657054611940204
rxn00097_d0_f,904.7257779954836,5.667673049253816,0.0062645203520244,774.1447899920761,4.8496457923190155,1210.3774742295443,7.582434320942869
rxn00097_d0_r,904.7257779954836,0.0,0.0,774.1447899920761,0.0,1210.3774742295443,0.0
rxn00102_d0_f,605.1903997772089,1.1811882865671641,0.0019517630930728572,605.1887371147722,1.181185041443984,605.1887371147722,1.181185041443984
rxn00102_d0_r,605.1903997772089,3.674471165671585,0.006071595264935271,605.1887371147722,3.674461070658207,605.1887371147722,3.674461070658207
rxn00117_d0_f,605.1887371147722,0.0,0.0,605.1887371147722,0.0,605.1887371147722,0.0
rxn00117_d0_r,605.1887371147722,2.3733688074626866,0.003921700226573424,605.1887371147722,2.3733688074626866,605.1887371147722,2.3733688074626866
rxn00121_d0,335.9253825707037,1.1922603925373134,0.003549182212470572,253.7362965074477,0.9005563502223923,605.1887371147722,2.147925100955278
rxn00122_d0,47.708607519771526,1.1922603925373134,0.02499046722424698,43.79983221420557,1.0945782713766214,70.85314949707254,1.7706533102412627
rxn00124_d0_f,0.015030714518538532,1.1948162611940298,79.49164756741081,0.019744362678958,1.5695119195188683,0.007353903429337,0.5845738996496306
rxn00124_d0_r,0.015030714518538532,1.1948162611940298,79.49164756741081,0.019744362678958,1.5695119195188683,0.007353903429337,0.5845738996496306
rxn00148_d0_f,1208.3538592257112,0.0,0.0,1226.576680186368,0.0,1649.5616849446008,0.0
rxn00148_d0_r,1208.3538592257112,7.521438989552349,0.00622453342795788,1226.576680186368,7.63486754777365,1649.5616849446008,10.267751849416193
rxn00151_d0,0.00015123724856725,0.0,0.0,0.0,0.0,0.0,0.0
rxn00154_c0,2.2297741251865353,0.6543401313432894,0.29345579175583514,2.524740979961843,0.7408998632531058,1.248601838749321,0.3664094411779736
rxn00154_d0,476.12194042665783,2.750420735820903,0.005776714959525331,451.42033829376606,2.6077266212555843,447.6452709229427,2.5859191331013327
rxn00161_d0_f,588.5633854094029,1.2893092074626866,0.002190603832016915,505.97683969324,1.1083948039438198,317.1539199796217,0.6947585924465454
rxn00161_d0_r,588.5633854094029,1.1856712567164178,0.00201451752879882,505.97683969324,1.0192992127282623,317.1539199796217,0.6389121311262062
rxn00175_d0,0.0,0.07061641940298582,0.0,0.0,0.0,0.0,0.0
rxn00179_d0_f,67.07212320319765,1.2820646597014933,0.019114717090696946,20.536604296086328,0.39255138112328164,165.36153411233337,3.160838942240885
rxn00179_d0_r,67.07212320319765,1.1943370373134328,0.017806757565958387,20.536604296086328,0.36569033392842876,165.36153411233337,2.9445527486732783
rxn00187_d0,0.10244752386453192,4.2481724776118694,41.46681459309158,0.090039568866041,3.733654108210023,0.0787223322632946,3.264364356297788
rxn00191_d0_f,605.1971622826231,0.0,0.0,605.1907609490931,0.0,605.1912918790924,0.0
rxn00191_d0_r,605.1971622826231,0.0,0.0,605.1907609490931,0.0,605.1912918790924,0.0
rxn00192_d0,121.51824220352273,0.0,0.0,160.80123637065088,0.0,52.38080153433722,0.0
rxn00208_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00209_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00211_d0_f,337.1959293621475,1.2302609611940276,0.003648504783320592,373.1923637462794,1.3615941242270186,709.088019810203,2.5871110320728525
rxn00211_d0_r,337.1959293621475,1.1946215776119402,0.0035428113852730408,373.1923637462794,1.3221501551772767,709.088019810203,2.512165109744303
rxn00213_d0_f,488.13603274475514,0.0,0.0,395.02452566099737,0.0,605.1937999105517,0.0
rxn00213_d0_r,488.13603274475514,2.3733688074626866,0.004862105331821947,395.02452566099737,1.9206508524167707,605.1937999105517,2.9425160013306777
rxn00237_d0_f,605.1887371147722,1.3736806910447799,0.0022698384930191877,605.1887371147722,1.3736806910447799,605.1887371147722,1.3736806910447799
rxn00237_d0_r,605.1887371147722,1.182289889552239,0.0019535887187669544,605.1887371147722,1.182289889552239,605.1887371147722,1.182289889552239
rxn00239_d0_f,93.4749924016866,1.1948162611940298,0.012782202282077654,68.0061364393226,0.8692681923899936,81.0333882049765,1.0357851596381351
