,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes
279,rxn27927_d0_f,3.0308487,3.2650368,3.122164,3.1025937,3.198551,0.1029757833476236
280,rxn28082_d0_f,0.000725815,0.000695153,0.000668161,0.000668722,0.000707439,0.06503733685113067
281,rxn28083_d0_f,2.4520972,1.7398252,2.1768353,2.0786586,1.8787671,0.13278456273772507
282,rxn28487_d0_f,1.5168189,1.4968765,1.4645307,1.4554704,1.4835166,0.0
283,rxn28615_d0_f,1.0821214,1.0854406,1.1200732,1.1056498,1.0962747,0.06503733685113068
284,rxn29919_d0_f,0.0,0.0,0.0,0.0,0.0,0.0
285,rxn31768_d0,0.0,0.0,0.0,0.0,0.0,0.0
286,rxn37018_d0,0.0,0.0,0.0,0.0,0.0,0.0
287,rxn37266_d0_f,0.6471655,0.84177274,0.7126581,0.7391267,0.78691703,0.0
288,rxn37324_d0,0.0,0.0,0.0,0.0,0.0,0.0
289,rxn37610_d0,0.0,0.0,0.0,0.0,0.0,0.0
290,rxn37651_d0_f,0.20876572,0.3266624,0.17324883,0.1820645,0.24698974,0.0
291,rxn00211_d0_f,3.8358545,4.174444,3.9550064,3.9376667,4.116474,0.10568567238308738
292,rxn00834_d0_f,2.7809849,3.1853433,2.9374168,2.9980574,3.1348705,0.0
293,rxn00213_d0_f,4.1637716,4.5087657,4.264436,4.2626104,4.410514,0.10568567238308732
294,rxn00416_d0,0.0,0.0,0.0,0.0,0.0,0.15175378598597164
295,rxn00239_d0_f,5.820296,5.8437595,5.799217,5.736319,5.749382,0.0
296,rxn00917_d0,0.0,0.07123937,0.0,0.0,0.0,0.0
297,rxn01007_d0,0.0,0.0,0.0,0.0,0.0,0.10568567238308735
298,rxn00495_c0,0.0,0.0,0.0,0.0,0.0,1.4904389695050781
299,rxn00257_c0_f,69.3576,69.462265,69.3734,69.85954,69.61214,0.0
300,rxn00710_c0,0.0,0.0,0.0,0.0,0.0,0.2953779048655519
301,rxn01611_c0,0.0,0.0,0.0,0.0,0.0,1.4904389695050786
302,rxn00499_c0_f,13.9021635,13.9452715,13.866183,13.851212,13.909687,0.0
303,rxn04954_c0_f,23.566105,23.545033,23.487154,23.364845,23.462072,0.0
304,rxn00154_c0,0.0,0.0,0.0,0.0,0.0,4.638517062003325
305,rxn00799_c0_f,3.879956,3.5501783,3.8220747,4.0279384,3.7100515,0.0
306,rxn01361_c0_f,14.674122,15.732605,14.7643175,14.896625,15.549822,0.29537790486555165
307,rxn09736_c0_o,68.097244,69.50956,68.51495,68.659004,69.13339,0.0
308,rxn05238_c0_i,201.28693,199.39218,200.68884,200.51308,199.78143,0.21137134476617464
309,rxn08730_c0_o,383.65622,383.51505,383.38147,383.51047,383.48215,460.7651425889415
310,rxn31154_d0_i,447.0502,340.5717,396.23038,390.4499,356.0046,1000.0
311,rxn05467_c0_i,229.81226,230.15355,230.49187,230.61887,230.38756,124.38228079436612
312,rxn05468_c0_i,111.85313,119.045334,116.16979,116.35899,118.072754,0.0
313,rxn09121_c0_o,359.8597,359.7783,360.0032,360.16205,359.93408,431.7747496875499
314,rxn05319_c0_i,361.72562,362.0747,361.58978,361.72748,361.95612,497.87924084084653
315,rxn05238_d0_o,52.477554,54.64708,53.206104,53.398506,54.194923,0.0
