	EX_cpd00013_e0_i	EX_cpd00048_e0_i	EX_cpd00067_e0_o	EX_cpd11632_e0_i	EX_cpd00011_e0_i	EX_cpd00007_e0_o	EX_cpd00009_e0_o	EX_cpd00001_e0_i	EX_cpd00008_e0_o
0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
1	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
