rxn_ID,subsystems,kapp,Pred_cold,Pred_control,FBA_cold,FBA_control,Vbf_cold,Vbf_control,RES_cold,RES_control
rxn00018_d0,"{'Rubisco_shunt_in_plants', 'Photorespiration_(oxidative_C2_cycle)_in_plants', 'Calvin-Benson-Bassham_cycle_in_plants'}",0.1097644358243079,0.056488037,0.06754875,8.773821532577088,4.631996406254525,24.548279728639532,24.6911136662868,223.645113652,224.946390669
rxn00069_d0_r,,0.2931947223126774,0.1606853,0.16136801,0.0,0.0,1.03711157397226,1.9347390048922315,,
rxn00086_d0_f,,0.0111485792360241,0.0,0.0,0.0,0.0,1.241538674454829,1.241538674454829,,
rxn00086_d0_r,,0.0115756134482722,0.013894917000000007,0.013937830000000012,0.01786523191872482,0.009431658683411835,1.2890944641744984,1.2890944641744984,,
rxn00097_d0_f,,0.0293113679034782,0.0,0.0,0.14658651830746489,0.07738796868440269,6.528400809271255,4.738376433299156,,
rxn00102_d0_f,,0.0108638678813691,0.0,0.0,0.0,0.0,1.21201009527964,1.214574805624132,,
rxn00102_d0_r,,0.0262255143591066,0.10609005999999999,0.11528897999999999,0.6252831171553802,0.3301080539194168,2.9258076869333585,2.931998930116809,,
rxn00117_d0_r,,0.0221161484789198,0.009743452,0.010093927,0.14658651830747566,0.07738796868440417,2.462919542056074,2.462919542056074,,
rxn00121_d0,"{'Riboflavin,_FMN_and_FAD_biosynthesis_in_plants'}",0.0165064792246878,0.0175215,0.016087174,0.0,0.0,1.8382102241615856,1.0690013218243182,111.3629502,64.76252793
rxn00122_d0,"{'Riboflavin,_FMN_and_FAD_biosynthesis_in_plants'}",0.0632244106596744,0.0,0.0,0.0,0.0,1.59279078135866,1.138000967291285,25.192655252,17.999392254
rxn00124_d0_f,,20.16662553337166,0.0,0.0,0.0,0.0,0.6979211241970579,1.6970252615978532,,
rxn00124_d0_r,,20.16662553337166,0.010631919000000004,0.010028600999999998,0.0,0.0,0.6979211241970579,1.6970252615978532,,
rxn00148_d0_r,,0.0201467060966523,0.09155798,0.12922096,1.2949315602422589,0.6836380602359721,6.730789884251412,5.582903026729243,,
rxn00154_c0,"{'Acetyl-CoA_biosynthesis_in_plants', 'TCA_cycle_in_plants'}",0.328184471476712,0.014199168,0.014347464,0.12643087204019704,0.06674712299029789,0.235064330542782,0.3728990748194316,0.716256712,1.136248382
rxn00154_d0,"{'Acetyl-CoA_biosynthesis_in_plants', 'TCA_cycle_in_plants'}",0.0165918706631018,0.004463911,0.03258896,0.6958278790908589,0.3673510138487869,1.8477196666666689,1.8477196666666689,111.3629502,111.3629502
rxn00161_d0_f,,0.0110707905667761,0.0,0.0,0.0,0.0,1.232875898753894,1.232875898753894,,
rxn00161_d0_r,,0.013913395253695,0.08288956000000003,0.08754802,0.2656193520018757,0.14022941763016541,1.5494367429906764,1.5494367429906764,,
rxn00175_d0,"{'Acetyl-CoA_biosynthesis_in_plants', 'Ethanol_Degradation_in_plants'}",0.357143903049436,0.0,0.0,0.01786523191872482,0.009431658683411833,0.0392592643958897,0.0536509370530184,0.109925618,0.150222184
rxn00179_d0_f,,0.0275756255426706,0.0,0.0,0.021987977746123103,0.011608195302660817,2.39024926594171,0.5801051093278903,,
rxn00179_d0_r,,0.0263340554742231,0.008510351999999999,0.009659886999999999,0.0,0.0,2.2826302405770944,0.5539863495129783,,
rxn00187_d0,"{'Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants'}",0.449398613997151,0.26530617,0.26662087,0.8698993695809404,0.4592492266615117,1.0914757571318066,2.1545649157495275,2.428747493,4.794329241
rxn00211_d0_f,,0.0097628688652619,0.007258773,0.005420326999999999,0.00893261595936255,0.004715829341705958,1.5938284379121128,1.4358136089623914,,
rxn00211_d0_r,,0.0095773665732999,0.0,0.0,0.0,0.0,1.563544426899839,1.4085320056786963,,
rxn00213_d0_r,,0.0194925561294396,0.001865387,0.003638029,0.14658651830747563,0.07738796868440416,2.379625220359988,2.327471042344079,,
rxn00237_d0_f,,0.0113584902375338,0.0,0.0,0.00870357452449633,0.004594910640635108,1.264914982866023,1.264914982866023,,
rxn00237_d0_r,,0.0111504476740095,0.015626311,0.01421988,0.0,0.0,1.2417467492211838,1.2417467492211838,,
rxn00239_d0_f,,0.0337987962753505,0.0,0.0,0.0,0.0,1.107458019790991,1.0001112384567366,,
