rxn_ID	Control	FeLim	FeEx	ZnLim	ZnEx
rxn01434_d0	0.3457043	0.5635103	0.26767445	0.34251812	0.1955123
rxn01465_d0_f	0	0	0	0	2.8995972
rxn01476_d0_f	0.11755371	0	0	0.012573242	0
rxn01486_d0	0	0	0	0	0
rxn01512_d0_f	3.8173828	3.4524536	3.32312	3.3839722	4.9561462
rxn01539_d0_f	0	0.007341864	0.15925087	0.09820893	0.051114872
rxn01636_d0_f	0	0	0	0	0
rxn01637_d0_f	0	0	0	0	0
rxn01643_d0_f	0	0	0	0	0
rxn01644_d0	0	0	0	0	0
rxn01652_d0_f	0.98327637	0	0	0	0
rxn01673_d0_f	3.8173828	3.4524536	3.32312	3.3839722	4.9561462
rxn01678_d0_f	3.8173828	3.4524536	3.32312	3.3839722	4.9561462
rxn01739_d0	3.3285754	3.726907	2.9817452	3.163227	3.478042
rxn01740_d0_f	0	0	0	0	0
rxn01807_d0	0	0	0	0	0
rxn01827_d0	0	0	0	0	0
rxn01917_d0_f	6.913208	2.0233154	5.9541626	5.8878174	1.9111328
rxn01974_d0_f	0	0	0	0	0
rxn01975_d0_f	0	0	0	0	0
rxn02159_d0_f	0	0	0	0	0
rxn02212_d0	2.7425447	3.4583926	2.784798	3.0493734	1.9118283
rxn02213_d0	0.11395764	0	0	0	0
rxn02251_d0	0	0	0	0	0
rxn02305_d0	4.0151186	4.158237	3.5213027	4.1164985	3.2066429
rxn02320_d0_f	0.50964355	0.862854	0.21917725	0	1.1528931
rxn02373_d0_f	0	0	0	0	0
rxn02374_d0	3.8902168	0	0	0	0.05087792
rxn02380_d0_f	0	0	0	0	0
rxn02465_d0_f	1.0874034	1.2879587	1.5103712	1.1518202	1.443097
rxn02473_d0	0	0	0	0	0
rxn02474_d0_f	0	0	0	0	0
rxn02475_d0	0	0	0	0	0
rxn02476_d0_f	7.984741	5.842041	5.393921	6.256958	5.1499023
rxn02484_d0	0	0	0	0	0
rxn02507_d0	0	0	0	0	0
rxn02789_d0_f	0	0	0	0	0
rxn02811_d0_f	0	0.3154602	0	0	0
rxn02834_d0	0.11942569	0.104996115	0.11543219	0.12642023	0.088087335
rxn02835_d0_f	0	0	0.016540527	0	0
rxn02895_d0	0.63467884	1.3508043	0.7564659	2.0238266	1.7274938
rxn02914_d0_f	0	0	0	0	0
rxn02928_d0_f	0	0	0	0	0
rxn02929_d0_f	0	0	0	0	0
rxn02937_d0	4.4683833	4.6021876	4.616072	5.58022	3.718807
rxn02938_d0_f	15.128967	10.132446	14.194275	0	15.126221
rxn02988_d0_f	3.8847656	2.6851196	1.5678711	2.2678833	1.958374
rxn03004_d0	0.44394016	0	0.17113972	0.6794796	1.3616838
rxn03062_d0_f	0	0	0	0	0
rxn03080_d0_f	2.658081	0.033325195	1.6879883	0	2.1310425
rxn03084_d0	1.3709192	3.6601324	3.4641135	4.2509923	3.1162012
rxn03108_d0_f	5.352295	3.090149	3.748352	3.9655151	2.6970825
rxn03136_d0_f	8.559448	11.634155	10.180725	9.914917	11.6979065
rxn03137_d0	4.493745	3.028734	1.7774854	3.0864162	3.3338022
rxn03147_d0	4.4683833	4.715276	4.656282	5.1764913	5.0920563
rxn03175_d0_f	0	0	0	0	0
rxn03891_d0	0	0	0	0	0
