rxn_ID,subsystems,kapp,Pred_cold,Pred_control,FBA_cold,FBA_control,Vbf_cold,Vbf_control,RES_cold,RES_control
rxn00018_d0,"{'Rubisco_shunt_in_plants', 'Photorespiration_(oxidative_C2_cycle)_in_plants', 'Calvin-Benson-Bassham_cycle_in_plants'}",0.1097644358243079,36.069504,32.142517,8.773821532577127,4.631996406254514,24.548279728639532,24.6911136662868,1172.9032684124977,1174.4190809501254
rxn00069_d0_r,,0.2931947223126774,0.0,0.0,0.0,0.0,1.03711157397226,1.9347390048922315,,
rxn00086_d0_f,,0.0111485792360241,0.42112716000000017,0.9426555999999999,0.0,0.0,1.241538674454829,1.241538674454829,,
rxn00086_d0_r,,0.0115756134482722,0.0,0.0,0.017865231918724897,0.009431658683411896,1.2890944641744984,1.2890944641744984,,
rxn00097_d0_f,,0.0293113679034782,0.0,0.0,0.14658651830748468,0.07738796868440406,6.528400809271255,4.738376433299156,,
rxn00102_d0_f,,0.0108638678813691,0.0,0.0,0.0,0.0,1.21201009527964,1.214574805624132,,
rxn00102_d0_r,,0.0262255143591066,3.6744611,3.6744611,0.6252831171553684,0.33010805391941406,2.9258076869333585,2.931998930116809,,
rxn00117_d0_r,,0.0221161484789198,0.0,0.0,0.0,0.0,2.462919542056074,2.462919542056074,,
rxn00121_d0,"{'Riboflavin,_FMN_and_FAD_biosynthesis_in_plants'}",0.0165064792246878,2.1479251,0.9005563,0.0,0.0,1.8382102241615856,1.0690013218243182,586.0768852498277,253.7362965074477
rxn00122_d0,"{'Riboflavin,_FMN_and_FAD_biosynthesis_in_plants'}",0.0632244106596744,0.29227448,0.0,0.0,0.0,1.59279078135866,1.138000967291285,70.85314949707254,43.79983221420557
rxn00124_d0_f,,20.16662553337166,0.0,0.0,0.0,0.0,0.6979211241970579,1.6970252615978532,,
rxn00124_d0_r,,20.16662553337166,0.5845739,1.5695119,0.0,0.0,0.6979211241970579,1.6970252615978532,,
rxn00148_d0_r,,0.0201467060966523,8.959710099999999,5.305309599999999,1.2949315602422362,0.6836380602359646,6.730789884251412,5.582903026729243,,
rxn00154_c0,"{'Acetyl-CoA_biosynthesis_in_plants', 'TCA_cycle_in_plants'}",0.328184471476712,0.36640945,0.74089986,0.12643087204020573,0.06674712299029915,0.235064330542782,0.3728990748194316,1.248601838749321,2.524740979961843
rxn00154_d0,"{'Acetyl-CoA_biosynthesis_in_plants', 'TCA_cycle_in_plants'}",0.0165918706631018,0.9571425,1.8678416,0.6958278790908458,0.36735101384878377,1.8477196666666689,1.8477196666666689,447.6452709229427,451.42033829376606
