,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes_Control,fluxes_FeLim,fluxes_FeEX,fluxes_ZnLim,fluxes_ZnEx
0,EX_cpd00067_e0_o,374.49167,374.39673,374.00818,374.1717,374.27472,450.8906362255433,6.426066649276319,112.66159358018697,77.82547580915356,10.879533492468502
1,EX_cpd00007_e0_o,101.49232,88.64181,94.1896,93.67621,90.19515,120.82289099888192,1.7219606883312744,30.189359341874365,20.854500460111332,2.9153337498489824
2,EX_cpd00009_e0_o,348.07214,347.68265,348.35312,348.5927,348.02808,422.5215269081786,6.0217517830815765,105.57315836472142,72.92885730896043,10.195015673350648
3,EX_cpd00008_e0_o,381.8666,381.54285,381.8065,381.91922,381.67456,433.2725124189714,6.174974191992283,108.25944870408777,74.78451918253334,10.454426043725265
4,rxn00001_d0_f,26.450405,26.080126,26.56355,26.365522,26.21832,4.875890942404061,0.06949090899909041,1.2183123790125894,0.8415977225934695,0.11765030043110844
5,rxn00018_d0,23.553968,22.889442,23.710533,23.674362,23.285723,135.41065402096925,1.929864623149052,33.834324432735954,23.37240504045222,3.267321668044747
6,rxn00048_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,rxn00069_d0_f,1.4361221,0.0,0.26652893,0.11297137,0.0,0.0,0.0,0.0,0.0,0.0
8,rxn00076_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,rxn00077_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,rxn00086_d0_f,4.256569,5.302634,4.985819,5.114974,5.1187816,0.0,0.0,0.0,0.0,0.0
11,rxn00097_d0_f,48.098103,44.362774,46.598408,45.998444,44.81408,7.847779221705864,0.11184608478376463,1.9608819570619762,1.3545571872753095,0.18935894876587922
12,rxn00102_d0_f,3.1817153,1.2174984,2.4786186,2.1768696,1.3041035,0.0,0.0,0.0,0.0,0.0
13,rxn00117_d0_f,3.0115957,3.3292458,3.1013966,3.125257,3.2413108,0.10342075746655725,0.001473946511646561,0.025841182782123825,0.017850824594085716,0.002495437927238395
14,rxn00121_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,rxn00122_d0_f,4.9443197,5.025411,5.0113044,5.0222926,5.0316167,0.0,0.0,0.0,0.0,0.0
16,rxn00124_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,rxn00148_d0_f,1.7867252,2.4242296,2.0747972,2.0781052,2.3474047,0.0,0.0,0.0,0.0,0.0
18,rxn00151_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,rxn00154_d0,0.0,0.0,0.0,0.0,0.0,8.05621182521541,0.11481665390723729,2.0129618792844153,1.3905334645341645,0.19438821597308323
20,rxn00161_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,rxn00175_d0,3.3657327,0.85593253,2.3179386,2.0527415,1.313406,0.20684151493311453,0.002947893023293123,0.051682365564247656,0.03570164918817144,0.004990875854476792
22,rxn00179_d0_f,3.1269803,3.289248,3.185253,3.2052333,3.2547843,0.25457417222537165,0.003628176028668456,0.06360906530984324,0.04394049130851869,0.006142616436279125
23,rxn00187_d0,163.75536,159.36668,161.89561,161.57793,160.34631,25.448135872508058,0.36268532561579975,6.3585874504782245,4.3924471337729,0.6140376940703386
24,rxn00191_d0_f,0.06180987,0.12112696,0.094354145,0.12335514,0.13052417,0.0,0.0,0.0,0.0,0.0
25,rxn00192_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,rxn00208_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,rxn00209_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,rxn00237_d0_f,3.7213426,3.7916343,3.7309618,3.715517,3.7297657,3.1760779799409034,0.04526527530766874,0.7935893491833236,0.5482034004188814,0.07663553860136968
29,rxn00248_d0_f,39.38023,39.86953,39.34437,39.52581,39.774857,9.93130971251288,0.14154043796839794,2.4814824009572227,1.7141826458284655,0.23963242516155103
30,rxn00260_d0_f,9.918269,9.696041,9.88654,9.756872,9.700252,0.0,0.0,0.0,0.0,0.0
31,rxn00272_d0_f,5.1011944,4.8760886,5.019782,4.9848714,4.8663154,0.0,0.0,0.0,0.0,0.0
32,rxn00275_d0_f,6.7706676,7.329089,7.0009904,7.2973347,7.3255405,2.7703503929567166,0.03948286976197837,0.6922124013457607,0.47817324239592973,0.06684574365604984
33,rxn00300_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,rxn00313_d0,0.0,0.0,0.0,0.0,0.0,0.2545741722253718,0.0036281760286684603,0.0636090653098433,0.043940491308518716,0.006142616436279131
35,rxn00333_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,rxn00337_d0_f,17.736996,17.13849,17.307585,17.382093,17.180344,0.8591878312606298,0.012245094096756054,0.21468059542072115,0.14829915816625067,0.020731330472442064
37,rxn00338_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,rxn00361_d0,14.202629,15.304485,14.677862,14.74611,15.113381,0.0,0.0,0.0,0.0,0.0
39,rxn00391_d0_f,1.3970225,1.365791,1.428803,1.4169825,1.3815905,0.0,0.0,0.0,0.0,0.0
40,rxn00392_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,rxn00394_d0,2.8215647,3.2836187,3.091836,3.0805397,3.2443967,0.0,0.0,0.0,0.0,0.0
42,rxn00409_d0_f,2.7851205,2.8764155,2.8304262,2.8432226,2.8787253,0.0,0.0,0.0,0.0,0.0
43,rxn00414_d0,41.974873,44.69106,43.25455,43.587013,44.341717,0.5807473303891293,0.00827677656539992,0.14510818023808,0.1002392457975583,0.01401284374526176
44,rxn00420_d0_f,15.784486,13.681386,15.320119,15.287972,14.463612,7.495087920601963,0.10681954924404688,1.8727568978306306,1.2936812982749661,0.18084886557811752
45,rxn00459_d0_f,20.429804,20.03493,20.086859,20.174936,20.02776,18.689191599924488,0.2663572520546529,4.6697667665018985,3.2258270895317374,0.45095122768712914
46,rxn00493_d0_f,0.03960558,0.13098049,0.13370147,0.15295494,0.120573424,0.0,0.0,0.0,0.0,0.0
47,rxn00506_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,rxn00527_d0_f,0.041513212,0.10056885,0.0988107,0.11699983,0.09898036,0.0,0.0,0.0,0.0,0.0
49,rxn00533_d0_f,1.3061358,1.6811817,1.644675,1.7064656,1.6857098,6.658705692269879,0.09489947924985938,1.663774614510588,1.149318475788442,0.16066781116142592
50,rxn00611_d0_f,0.9347809,0.9925523,0.9736018,0.9713023,0.9668616,0.0,0.0,0.0,0.0,0.0
51,rxn00689_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,rxn00692_d0_f,2.9346402,2.5388646,2.660593,2.4906707,2.4920805,0.0,0.0,0.0,0.0,0.0
53,rxn00693_d0_f,0.83392197,0.83047974,0.9262824,0.94003886,0.8785362,0.12993890040670023,0.0018518815146328599,0.03246712708523252,0.022427959105389764,0.0031352938060174736
54,rxn00720_d0_f,0.13148019,0.12456424,0.13866171,0.13415673,0.12828274,0.0,0.0,0.0,0.0,0.0
55,rxn00737_d0,0.0,0.0,0.0,0.0,0.0,0.22010058640318597,0.00313686052478627,0.054995337715801985,0.03799021644382346,0.005310803793866328
56,rxn00747_d0_f,0.08935216,0.18138906,0.12634633,0.1311849,0.15971586,98.70185393035888,1.40669297786515,24.662095993385645,17.036323507799164,2.38157557360966
57,rxn00770_d0,3.6485732,5.182563,4.1103096,4.2436595,4.803997,3.8178170390923603,0.054411302379937125,0.9539372013185531,0.6589700555924387,0.09212005086782331
58,rxn00777_d0_f,4.5760493,3.709918,4.472532,4.3796163,3.9813735,41.97556845995219,0.5982333162270109,10.488207237390725,7.24514621794315,1.0128278705193998
59,rxn00781_d0_f,0.0,0.9531432,0.0,0.0,0.5150734,0.0,0.0,0.0,0.0,0.0
60,rxn00782_d0_f,4.3202744,2.7208595,3.7681353,3.7191958,3.097965,0.0,0.0,0.0,0.0,0.0
61,rxn00800_d0_f,4.0318375,4.5595627,4.1588187,4.0509024,4.3099346,3.176077979940903,0.04526527530766874,0.7935893491833235,0.5482034004188813,0.07663553860136968
62,rxn00802_d0_f,4.221065,4.373385,4.309576,4.2514234,4.3353972,0.29169957234157184,0.004157285032849276,0.07288538733419543,0.05034847962434435,0.007038414666569836
63,rxn00830_d0_f,7.85e-05,7.85e-05,7.76e-05,7.76e-05,7.84e-05,0.0,0.0,0.0,0.0,0.0
64,rxn00832_d0_f,0.95945024,0.96662295,0.9229685,0.90788925,0.9485687,0.0,0.0,0.0,0.0,0.0
65,rxn00838_d0,0.0,0.0,0.0,0.0,0.0,3.176077979940903,0.04526527530766874,0.7935893491833235,0.5482034004188813,0.07663553860136968
66,rxn00839_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402,0.0,0.0,0.0,0.0,0.0
67,rxn00863_d0_f,3.6561842,3.9439077,3.7211194,3.7186387,3.8550816,0.10076894317254301,0.0014361530113479318,0.02517858835181297,0.01739311114295532,0.0024314523393604882
68,rxn00899_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,rxn00907_d0_f,21.595713,22.545313,22.017727,22.152802,22.416586,6.829482532804377,0.09733338066909082,1.7064456958226029,1.1787952220412352,0.16478848302076274
