	EX_cpd00013_e0_o	EX_cpd00048_e0_o	EX_cpd00067_e0_o	EX_cpd00007_e0_o	EX_cpd00009_e0_o	EX_cpd00008_e0_o	rxn00001_d0_f	rxn00018_d0	rxn00048_d0	rxn00069_d0_f	rxn00076_d0	rxn00077_d0_f	rxn00086_d0_f	rxn00097_d0_f	rxn00102_d0_f	rxn00117_d0_f	rxn00121_d0	rxn00122_d0	rxn00124_d0_f	rxn00148_d0_f	rxn00151_d0	rxn00154_d0	rxn00161_d0_f	rxn00175_d0	rxn00179_d0_f	rxn00187_d0	rxn00191_d0_f	rxn00192_d0	rxn00208_d0	rxn00209_d0	rxn00237_d0_f	rxn00248_d0_f	rxn00249_d0_f	rxn00260_d0_f	rxn00272_d0_f	rxn00275_d0_f	rxn00300_d0	rxn00313_d0	rxn00333_d0	rxn00337_d0_f	rxn00338_d0	rxn00361_d0_f	rxn00391_d0_f	rxn00392_d0_f	rxn00394_d0_f	rxn00409_d0_f	rxn00414_d0	rxn00420_d0	rxn00459_d0_f	rxn00493_d0_f	rxn00506_d0_f	rxn00527_d0_f	rxn00533_d0	rxn00611_d0_f	rxn00689_d0_f	rxn00692_d0_f	rxn00693_d0_f	rxn00720_d0_f	rxn00737_d0	rxn00747_d0_f	rxn00770_d0_f	rxn00777_d0_f	rxn00781_d0_f	rxn00782_d0_f	rxn00800_d0_f	rxn00802_d0_f	rxn00830_d0_f	rxn00838_d0	rxn00839_d0_f	rxn00863_d0_f	rxn00899_d0_f	rxn00907_d0_f	rxn00929_d0_f	rxn00931_d0_f	rxn00947_d0	rxn00974_d0_f	rxn00980_d0	rxn01000_d0	rxn01011_d0_f	rxn01018_d0	rxn01019_d0	rxn01069_d0	rxn01100_d0_f	rxn01101_d0_f	rxn01102_d0_f	rxn01106_d0_f	rxn01111_d0_f	rxn01115_d0_f	rxn01116_d0_f	rxn01200_d0_f	rxn01207_d0_f	rxn01211_d0_f	rxn01213_d0	rxn01249_d0_f	rxn01255_d0	rxn01256_d0	rxn01257_d0_f	rxn01258_d0_f	rxn01301_d0_f	rxn01302_d0_f	rxn01332_d0	rxn01334_d0_f	rxn01345_d0	rxn01353_d0_f	rxn01396_d0_f	rxn01434_d0	rxn01465_d0_f	rxn01476_d0_f	rxn01486_d0	rxn01512_d0_f	rxn01636_d0_f	rxn01637_d0_f	rxn01643_d0_f	rxn01644_d0	rxn01652_d0_f	rxn01673_d0_f	rxn01678_d0_f	rxn01739_d0_f	rxn01740_d0_f	rxn01807_d0_f	rxn01827_d0	rxn01917_d0_f	rxn01974_d0_f	rxn01975_d0_f	rxn02159_d0_f	rxn02212_d0	rxn02213_d0_f	rxn02251_d0	rxn02305_d0_f	rxn02320_d0_f	rxn02374_d0	rxn02380_d0_f	rxn02465_d0_f	rxn02473_d0	rxn02474_d0_f	rxn02475_d0	rxn02476_d0_f	rxn02484_d0_f	rxn02507_d0	rxn02789_d0_f	rxn02811_d0_f	rxn02834_d0	rxn02835_d0_f	rxn02895_d0	rxn02914_d0_f	rxn02928_d0_f	rxn02929_d0_f	rxn02937_d0	rxn02938_d0_f	rxn03004_d0_f	rxn03062_d0_f	rxn03080_d0	rxn03084_d0	rxn03108_d0_f	rxn03136_d0_f	rxn03137_d0_f	rxn03147_d0	rxn03175_d0_f	rxn03891_d0	rxn03892_d0	rxn03907_d0_f	rxn03908_d0_f	rxn03909_d0	rxn03910_d0	rxn03958_d0_f	rxn03983_d0_f	rxn04113_d0	rxn04674_d0	rxn05023_d0	rxn05024_d0_f	rxn05039_d0	rxn05040_d0	rxn05104_d0	rxn05105_d0_f	rxn05106_d0	rxn05287_d0	rxn05324_d0_f	rxn05325_d0_f	rxn05326_d0_f	rxn05330_d0_f	rxn05331_d0_f	rxn05335_d0_f	rxn05337_d0_f	rxn05338_d0_f	rxn05340_d0_f	rxn05342_d0_f	rxn05343_d0_f	rxn05345_d0_f	rxn05346_d0_f	rxn05348_d0_f	rxn05350_d0_f	rxn05465_d0_f	rxn05736_d0	rxn06556_d0_f	rxn07441_d0_f	rxn07579_d0_f	rxn08352_d0	rxn08392_d0_f	rxn08436_d0_f	rxn08756_d0	rxn08766_d0_f	rxn09444_d0	rxn09449_d0	rxn09453_d0	rxn11040_d0_f	rxn11700_d0_f	rxn11702_d0	rxn11703_d0	rxn12282_d0	rxn13995_d0_f	rxn14012_d0	rxn14059_d0_f	rxn14085_d0	rxn14094_d0_f	rxn14102_d0	rxn14142_d0_f	rxn14156_d0_f	rxn14183_d0	rxn14205_d0	rxn14248_d0_f	rxn14261_d0_f	rxn14278_d0_f	rxn14308_d0	rxn14347_d0	rxn15022_d0	rxn15069_d0_f	rxn15116_d0_f	rxn15166_d0	rxn15250_d0	rxn15271_d0_f	rxn15280_d0_f	rxn15298_d0_f	rxn15364_d0_f	rxn15435_d0_f	rxn15493_d0_f	rxn15494_d0_f	rxn16426_d0	rxn16427_d0	rxn16428_d0	rxn17196_d0	rxn17469_d0_f	rxn17744_d0_f	rxn17803_d0_f	rxn18935_d0_f	rxn18936_d0_f	rxn18937_d0_f	rxn19027_d0_f	rxn19029_d0_f	rxn19030_d0_f	rxn19071_d0	rxn19240_d0_f	rxn19241_d0_f	rxn19242_d0_f	rxn19246_d0	rxn19253_d0	rxn19343_d0	rxn19345_d0	rxn19544_d0	rxn19545_d0	rxn19686_d0_f	rxn19828_d0_f	rxn19900_d0	rxn19905_d0	rxn20583_d0_f	rxn20643_d0	rxn23155_d0_f	rxn23415_d0_f	rxn23805_d0	rxn24109_d0	rxn24310_d0	rxn24312_d0	rxn24330_d0_f	rxn24358_d0_f	rxn24360_d0_f	rxn24362_d0_f	rxn24508_d0_f	rxn25637_d0_f	rxn25641_d0_f	rxn25647_d0_f	rxn25649_d0_f	rxn25661_d0_f	rxn25662_d0_f	rxn25716_d0_f	rxn25718_d0_f	rxn25719_d0_f	rxn25743_d0_f	rxn25747_d0_f	rxn25750_d0_f	rxn25762_d0	rxn26013_d0	rxn26037_d0_f	rxn26477_d0_f	rxn26754_d0	rxn27029_d0	rxn27030_d0	rxn27069_d0_f	rxn27070_d0_f	rxn27071_d0_f	rxn27072_d0_f	rxn27073_d0_f	rxn27259_d0	rxn27266_d0_f	rxn27318_d0_f	rxn27497_d0	rxn27709_d0	rxn27927_d0	rxn28082_d0_f	rxn28083_d0_f	rxn28487_d0_f	rxn28615_d0_f	rxn29919_d0_f	rxn31768_d0	rxn37018_d0_f	rxn37266_d0_f	rxn37324_d0	rxn37610_d0	rxn37651_d0_f	rxn37768_d0_f	rxn44318_d0	rxn00917_d0	rxn00211_d0_f	rxn00239_d0_f	rxn01007_d0	rxn00213_d0_f	rxn00416_d0	rxn00834_d0_f	rxn01611_c0	rxn00495_c0	rxn04954_c0_f	rxn00710_c0	rxn01362_c0_f	rxn00257_c0_f	rxn00499_c0_f	rxn00799_c0_f	rxn00154_c0	rxn20632_y0	rxn20595_y0	rxn08173_y0	rxn01361_c0_f	rxn09736_c0_o	rxn05238_c0_i	rxn08730_c0_o	rxn31154_d0_i	rxn05467_c0_i	rxn05468_c0_i	rxn09121_c0_o	rxn05319_c0_i	rxn05238_d0_o	rxn05319_d0_o	rxn05467_d0_o	rxn05468_d0_o	rxn08730_d0_i	rxn09118_d0_i	rxn09121_d0_i	rxn09736_d0_i	rxn09817_d0_i	rxn09839_d0_i	rxn10929_d0_o	rxn10967_d0_o	rxn11013_d0_o	rxn13360_d0_i	rxn13361_d0_o	rxn13365_d0_i	rxn29240_d0_f	rxn29318_d0_o	rxn29733_d0_o	rxn29785_d0_o	rxn33186_d0_i	rxn39241_d0_i	rxn39242_d0_i	rxn_cpd00008_c0_i	rxn08217_c0_o	rxn_cpd00103_c0_o	bio1_biomass	EX_cpd00013_e0_i	EX_cpd00048_e0_i	EX_cpd11632_e0_i	EX_cpd00011_e0_i	EX_cpd00001_e0_i	rxn00001_d0_r	rxn00069_d0_r	rxn00077_d0_r	rxn00086_d0_r	rxn00097_d0_r	rxn00102_d0_r	rxn00117_d0_r	rxn00124_d0_r	rxn00148_d0_r	rxn00161_d0_r	rxn00179_d0_r	rxn00191_d0_r	rxn00237_d0_r	rxn00248_d0_r	rxn00249_d0_r	rxn00260_d0_r	rxn00272_d0_r	rxn00275_d0_r	rxn00337_d0_r	rxn00361_d0_r	rxn00391_d0_r	rxn00392_d0_r	rxn00394_d0_r	rxn00409_d0_r	rxn00459_d0_r	rxn00493_d0_r	rxn00506_d0_r	rxn00527_d0_r	rxn00611_d0_r	rxn00689_d0_r	rxn00692_d0_r	rxn00693_d0_r	rxn00711_d0	rxn00720_d0_r	rxn00747_d0_r	rxn00770_d0_r	rxn00777_d0_r	rxn00781_d0_r	rxn00782_d0_r	rxn00789_d0	rxn00790_d0	rxn00791_d0	rxn00800_d0_r	rxn00802_d0_r	rxn00830_d0_r	rxn00832_d0	rxn00839_d0_r	rxn00863_d0_r	rxn00899_d0_r	rxn00907_d0_r	rxn00929_d0_r	rxn00931_d0_r	rxn00974_d0_r	rxn01011_d0_r	rxn01100_d0_r	rxn01101_d0_r	rxn01102_d0_r	rxn01106_d0_r	rxn01111_d0_r	rxn01115_d0_r	rxn01116_d0_r	rxn01200_d0_r	rxn01207_d0_r	rxn01208_d0	rxn01211_d0_r	rxn01249_d0_r	rxn01257_d0_r	rxn01258_d0_r	rxn01301_d0_r	rxn01302_d0_r	rxn01334_d0_r	rxn01353_d0_r	rxn01396_d0_r	rxn01465_d0_r	rxn01476_d0_r	rxn01512_d0_r	rxn01539_d0	rxn01636_d0_r	rxn01637_d0_r	rxn01643_d0_r	rxn01652_d0_r	rxn01673_d0_r	rxn01678_d0_r	rxn01739_d0_r	rxn01740_d0_r	rxn01807_d0_r	rxn01917_d0_r	rxn01974_d0_r	rxn01975_d0_r	rxn02159_d0_r	rxn02213_d0_r	rxn02305_d0_r	rxn02320_d0_r	rxn02373_d0	rxn02380_d0_r	rxn02402_d0	rxn02465_d0_r	rxn02474_d0_r	rxn02476_d0_r	rxn02484_d0_r	rxn02789_d0_r	rxn02811_d0_r	rxn02832_d0	rxn02835_d0_r	rxn02914_d0_r	rxn02928_d0_r	rxn02929_d0_r	rxn02938_d0_r	rxn02988_d0	rxn03004_d0_r	rxn03062_d0_r	rxn03108_d0_r	rxn03135_d0	rxn03136_d0_r	rxn03137_d0_r	rxn03175_d0_r	rxn03907_d0_r	rxn03908_d0_r	rxn03958_d0_r	rxn03983_d0_r	rxn04996_d0	rxn05024_d0_r	rxn05105_d0_r	rxn05324_d0_r	rxn05325_d0_r	rxn05326_d0_r	rxn05330_d0_r	rxn05331_d0_r	rxn05335_d0_r	rxn05337_d0_r	rxn05338_d0_r	rxn05340_d0_r	rxn05342_d0_r	rxn05343_d0_r	rxn05345_d0_r	rxn05346_d0_r	rxn05348_d0_r	rxn05350_d0_r	rxn05465_d0_r	rxn06556_d0_r	rxn07441_d0_r	rxn07579_d0_r	rxn08392_d0_r	rxn08436_d0_r	rxn08766_d0_r	rxn11040_d0_r	rxn11700_d0_r	rxn13995_d0_r	rxn14059_d0_r	rxn14094_d0_r	rxn14142_d0_r	rxn14156_d0_r	rxn14248_d0_r	rxn14261_d0_r	rxn14278_d0_r	rxn15021_d0	rxn15069_d0_r	rxn15116_d0_r	rxn15271_d0_r	rxn15280_d0_r	rxn15298_d0_r	rxn15364_d0_r	rxn15435_d0_r	rxn15493_d0_r	rxn15494_d0_r	rxn17469_d0_r	rxn17744_d0_r	rxn17803_d0_r	rxn18935_d0_r	rxn18936_d0_r	rxn18937_d0_r	rxn19027_d0_r	rxn19029_d0_r	rxn19030_d0_r	rxn19240_d0_r	rxn19241_d0_r	rxn19242_d0_r	rxn19686_d0_r	rxn19701_d0	rxn19828_d0_r	rxn20583_d0_r	rxn23155_d0_r	rxn23415_d0_r	rxn24330_d0_r	rxn24358_d0_r	rxn24360_d0_r	rxn24362_d0_r	rxn24508_d0_r	rxn25637_d0_r	rxn25641_d0_r	rxn25647_d0_r	rxn25649_d0_r	rxn25661_d0_r	rxn25662_d0_r	rxn25716_d0_r	rxn25718_d0_r	rxn25719_d0_r	rxn25743_d0_r	rxn25747_d0_r	rxn25750_d0_r	rxn26037_d0_r	rxn26477_d0_r	rxn27069_d0_r	rxn27070_d0_r	rxn27071_d0_r	rxn27072_d0_r	rxn27073_d0_r	rxn27266_d0_r	rxn27318_d0_r	rxn28082_d0_r	rxn28083_d0_r	rxn28487_d0_r	rxn28615_d0_r	rxn29919_d0_r	rxn37018_d0_r	rxn37266_d0_r	rxn37651_d0_r	rxn37768_d0_r	rxn00211_d0_r	rxn00239_d0_r	rxn00213_d0_r	rxn00834_d0_r	rxn04954_c0_r	rxn00330_c0	rxn01362_c0_r	rxn00257_c0_r	rxn00499_c0_r	rxn00799_c0_r	rxn01361_c0_r	rxn09736_c0_i	rxn05238_c0_o	rxn08730_c0_i	rxn31154_d0_o	rxn05467_c0_o	rxn05468_c0_o	rxn09121_c0_i	rxn05319_c0_o	rxn05238_d0_i	rxn05319_d0_i	rxn05467_d0_i	rxn05468_d0_i	rxn08730_d0_o	rxn09118_d0_o	rxn09121_d0_o	rxn09736_d0_o	rxn09817_d0_o	rxn09839_d0_o	rxn10929_d0_i	rxn10967_d0_i	rxn11013_d0_i	rxn13360_d0_o	rxn13361_d0_i	rxn13365_d0_o	rxn29240_d0_r	rxn29318_d0_i	rxn29733_d0_i	rxn29785_d0_i	rxn33186_d0_o	rxn39241_d0_o	rxn39242_d0_o	rxn_cpd00008_c0_o	rxn08217_c0_i	rxn_cpd00103_c0_i
control	0.0792094	0.026403159	1.9734161	1.9734161	1.9734161	1.9734161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.854534e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0188618e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3785404e-06	0.0	0.0	8.21799e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.854534e-07	3.2633543e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3408e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8423965e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.388873e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.660323e-07	2.3368e-06	0.0	2.5219294e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3765733e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4115613e-08	0.0	8.029865e-09	0.0	8.029865e-09	0.0	0.0	2.2969607e-06	0.0	8.029865e-09	2.324196e-06	2.2969607e-06	8.121294e-09	0.0	8.029865e-09	2.2969607e-06	2.2969607e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7337344e-10	9.909272e-07	0.0	0.0	5.5134296e-07	2.6412308e-06	2.387911e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016975403	0.0	0.0	0.00033795834	0.00016784668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02622596	0.026404515	0.026401574	0.05280474	0.0	0.02640389	0.06600791	0.0	0.0	0.0	0.00017719249	0.0	2.8107734e-06	0.0	0.0005292066	6.719591e-09	0.0	0.0	0.0	1.9636752e-06	8.146215e-09	1.4228549e-06	4.3910422e-06	0.0	2.9942573e-06	0.0	0.0	0.0	0.0	0.0	0.0	2.0180557e-06	7.0270005e-07	0.005651126	5.9207864	1.9735963	1.9734161	3.9468322	4.9335637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1064112e-06	4.258007e-06	4.833564e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0920721e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5334486e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6095659e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85649e-09	7.85649e-09	7.85649e-09	7.85649e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.082079e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.00017142296	0.0	0.0	0.00043916702	2.1150242e-06	0.0786778	0.0	0.0	0.0	0.0	0.02640237	0.0	0.0	0.0001764038	0.00044118523	0.00035438497	0.0	0.00017526443	0.0	0.00017575374	0.0	0.0	0.0	7.278929e-07	3.3776373e-06	0.0	0.0	0.0	0.0	0.0001727805	0.0	6.8981586e-07	1.4228549e-06	8.146215e-09	0.0	0.0	0.026403885	0.0	0.0
cold	0.0792094	0.026403159	1.9734161	1.9734161	1.9734161	1.9734161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.579344e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.582653e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.392201e-06	0.0	0.0	1.707673e-05	4.917383e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1166558e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4969063e-06	6.1169267e-06	8.717179e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.015559e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3843179e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4171004e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1117234e-05	0.0	7.375334e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3008714e-05	0.0	6.2286854e-06	0.0	0.0	0.0	8.895993e-06	0.0	0.0	0.0	0.0	9.089708e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.148736e-06	5.373482e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4244783e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.275377e-08	0.0	1.5521577e-08	0.0	1.5521577e-08	0.0	0.0	5.3034523e-06	0.0	1.5521577e-08	5.3306685e-06	5.3034523e-06	1.5612994e-08	0.0	1.5521577e-08	5.3034523e-06	5.3034523e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.113427e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.268522e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3522804e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7527364e-10	2.9802322e-07	4.184246e-05	0.0	4.61936e-06	1.0184944e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016963482	0.0	0.0	0.0003440976	0.00017380714	0.0	0.0	0.0007162094	0.0	5.96745e-05	0.0	0.0	0.02622596	0.02640415	0.026410572	0.05280474	0.0	0.02640391	0.06600791	0.0	0.0	0.0	0.00017943449	0.0	2.8107759e-06	0.0	0.0005292066	5.5190448e-09	0.0	0.0	0.0	1.9476465e-06	3.447904e-08	1.2363189e-06	4.3933655e-06	0.0	2.987927e-06	0.0	0.0	0.0	0.0	0.0	0.0	2.0372552e-06	4.973036e-07	0.0056511248	5.9207864	1.9735963	1.9734161	3.9468322	4.9335637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.467585e-06	7.5101852e-06	7.898547e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.192721e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0716922e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0114163e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6450882e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5246304e-08	1.5246304e-08	1.5246304e-08	1.5246304e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0766647e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.000177145	0.0	0.0	0.00043475628	1.927377e-06	0.0786778	0.0	0.0	0.0	0.0	0.026402373	0.0	0.0	0.00017640232	0.0004457714	0.0003544039	0.0	0.00016798395	0.0	0.00017568939	0.0	0.0	0.0	5.580587e-07	3.3784868e-06	0.0	0.0	0.0	0.0	0.00017272875	0.0	3.9914792e-07	1.2363189e-06	3.447904e-08	0.0	0.0	0.0264039	0.0	0.0
