,rxn_ID,treatment,Pred,FBA,kapp,Vbf,RES,subsystems,rxn_dist_quantile
1005,rxn05343_d0_r,FeLim,0.0,0.0,0.0204392679029243,1.7168014936220723,,,
1006,rxn05343_d0_f,FeLim,0.000161171,0.00010072854227320624,0.0240491223913491,2.0200121373163844,,,
1007,rxn05345_d0_f,FeLim,0.0,0.00010072854227320624,0.0240491223913491,2.0200121373163844,,,
1008,rxn05345_d0_r,FeLim,0.006428838,0.0,0.0204392679029243,1.7168014936220723,,,
1009,rxn05346_d0_f,FeLim,0.0,0.00010072854227320602,0.0240491223913491,2.0200121373163844,,,
1010,rxn05346_d0_r,FeLim,0.002439141,0.0,0.0204392679029243,1.7168014936220723,,,
1011,rxn05348_d0_f,FeLim,0.0,0.00010072854227320624,0.0240491223913491,2.0200121373163844,,,
1012,rxn05348_d0_r,FeLim,0.0,0.0,0.0204392679029243,1.7168014936220723,,,
1013,rxn05350_d0_r,FeLim,0.0,0.0,0.0204392679029243,1.7168014936220723,,,
1014,rxn05350_d0_f,FeLim,0.0023492569999999996,0.00010072854227320624,0.0240491223913492,2.020012137316385,,,
1015,rxn05465_d0_r,FeLim,0.0,0.0,0.0632827153151762,0.9387090502932576,,,
1016,rxn05465_d0_f,FeLim,0.0069483509999999984,0.0007050997959124439,0.1438862983544109,2.134348531123948,,,
1017,rxn05467_c0_o,FeLim,0.0,0.0,,,,,
1018,rxn05467_c0_i,FeLim,0.33574811000000016,0.009733044361894226,,,,,
1019,rxn05467_d0_o,FeLim,0.0,0.0,,,,,
1020,rxn05467_d0_i,FeLim,0.33363367999999993,0.009920598070183216,,,,,
1021,rxn05468_c0_i,FeLim,0.0,0.0,,,,,
1022,rxn05468_c0_o,FeLim,0.11527502,0.010460049068971427,,,,,
1023,rxn05468_d0_i,FeLim,0.0,0.0,,,,,
1024,rxn05468_d0_o,FeLim,0.12089751000000004,0.010616107373901746,,,,,
1025,rxn05736_d0,FeLim,0.0,0.0,0.0,0.0,123.68864040606424,"{'Polyunsaturated_fatty_acids_biosynthesis_in_plants', 'Fatty_acid_biosynthesis_in_plants_(plastidial)'}",95.0
1026,rxn06556_d0_r,FeLim,0.0,0.0,,,,,
1027,rxn06556_d0_f,FeLim,0.0045477090000000005,0.0,,,,,
1028,rxn07441_d0_f,FeLim,0.0,0.0,0.0211821723275008,1.121407465244784,,,
1029,rxn07441_d0_r,FeLim,0.012815594,2.7239267769655795e-05,0.0221808468830496,1.1742783929582952,,,
1030,rxn07579_d0_f,FeLim,0.0,7.377301687615101e-06,0.0577749778054839,1.3923587723307684,,,
1031,rxn07579_d0_r,FeLim,0.04231583999999999,0.0,0.0570552342816489,1.3750131800466152,,,
1032,rxn08173_y0,FeLim,0.23884462,0.031861090528472275,,,,,
1033,rxn08217_c0_o,FeLim,0.0,0.0,,,,,
1034,rxn08217_c0_i,FeLim,0.0014540219999999993,0.00013988498969208667,,,,,
1035,rxn08352_d0,FeLim,0.0,0.0,0.0,0.0,119.5954926139452,"{'Isoprenoid_biosynthesis_in_plants,_nonmevalonate_branch'}",85.0
1036,rxn08392_d0_f,FeLim,0.0,0.00010072854227320619,0.0670394508190128,1.6156296546639186,,,
1037,rxn08392_d0_r,FeLim,0.019431353000000005,0.0,0.0569766028488263,1.3731181872758689,,,
1038,rxn08436_d0_r,FeLim,0.0,0.0,0.0085753965998056,1.2074312592365823,,,
1039,rxn08436_d0_f,FeLim,0.017537951999999996,9.335124058559109e-05,0.0099714255883856,1.4039946507944947,,,
1040,rxn08730_c0_i,FeLim,0.0,0.0,,,,,
1041,rxn08730_c0_o,FeLim,0.78052588,0.0012270155160739801,,,,,
1042,rxn08730_d0_i,FeLim,0.0,0.0,,,,,
