	Control	FeLim	FeEx	ZnLim	ZnEx
rxn00275_d0_r	0.8515157	0.69009936	0.714376	0.6649803	0.6488605
rxn00337_d0_r	1.9523742	2.405823	2.1839478	2.2554557	2.3158648
rxn00391_d0_r	-0.781569	-0.97676164	-0.80704564	-0.86482817	-0.9614012
rxn00409_d0_r	0.24626979	0.24359852	0.25480786	0.24809766	0.19841616
rxn00420_d0_r	-0.15035151	-0.15552944	-0.17900012	-0.17044243	-0.16205332
rxn00459_d0_r	12.122085	11.93708	12.153499	12.3251915	12.994058
rxn00493_d0_r	5.485721	5.2544727	5.4275084	5.385877	5.3069134
rxn00527_d0_r	13.3132715	13.412289	13.578428	13.519717	13.325916
rxn00533_d0_r	-0.25811282	-0.20113306	-0.24107349	-0.23987392	-0.24009144
rxn00611_d0_r	0.3482789	0.26217976	0.26619464	0.26814273	0.29165217
rxn00692_d0_r	5.863627	6.8539968	6.7493176	6.859361	6.7564993
rxn00693_d0_r	12.630023	12.64984	12.601561	12.681954	12.625152
rxn00711_d0	-0.018947616	0.13746998	-0.014772969	0.006166776	0.046080567
rxn00720_d0_r	0.7936256	0.68055236	0.76307416	0.7580498	0.7050301
rxn00747_d0_r	-1.5793421	-1.5413349	-1.5463717	-1.5531921	-1.5695274
rxn00777_d0_r	-0.40129766	0.15496688	-0.26686394	-0.25586805	-0.3395608
rxn00781_d0_r	22.969929	23.372564	22.786469	22.87953	23.662718
rxn00782_d0_r	31.765858	31.685991	31.182467	31.42201	32.09992
rxn00789_d0	3.4324455	3.6597214	3.5053103	3.5670474	3.5745347
rxn00790_d0	-1.1783981	-0.590125	-0.5660836	-0.6234361	-0.9381244
rxn00791_d0	-2.1063464	-1.9342624	-2.032194	-2.0361834	-2.0784626
rxn00800_d0_r	0.34267762	0.48546398	0.31106225	0.21078521	0.5338837
rxn00802_d0_r	0.55933225	0.50505763	0.5253086	0.5480023	0.5173127
rxn00830_d0_r	0.62720233	0.5468406	0.51544684	0.5169813	0.5544248
rxn00832_d0_r	6.8754277	7.1714606	7.2341533	7.50544	7.1739316
