rxn_ID	Control	FeLim	FeEX	ZnLim	ZnEx
rxn00693_d0_r	0.019026875	0.019304156	0.019518971	0.018955946	0.01972711
rxn05343_d0_f	0.01909244	1.26E-05	0.006297469	0.007131696	0.01930666
rxn19240_d0_f	0.019112468	0.019402266	0.018985271	0.019264579	0.019188404
rxn19241_d0_f	0.019209504	0.019495845	0.019076586	0.019361734	0.019280672
rxn05345_d0_f	0.019221187	0	0.003608823	0.002994895	0.01934743
rxn01974_d0_f	0.019286871	0.019156933	0.01927352	0.01972717	0.019334197
rxn02811_d0_r	0.019559741	0.019744635	0.020569086	0.019565105	0.020070076
rxn00777_d0_f	0.019809723	0.02067566	0.01900673	0.019107819	0.019435883
rxn01637_d0_r	0.019934416	0.01568091	0.020709395	0.018983662	0.018452168
rxn01807_d0_r	0.020072103	0.019482017	0.020226479	0.019939542	0.019676924
rxn25662_d0_r	0.020536423	0.020949364	0.02045393	0.020583987	0.02087593
rxn03907_d0_r	0.020610213	0.020889282	0.018339574	0.020118952	0.020164967
rxn05325_d0_f	0.020624638	0.021420956	0.020465016	0.003682911	0.020548224
rxn01362_c0_r	0.020742536	0.019619465	0.021164656	0.021009564	0.02067399
rxn05342_d0_r	0.021103024	0.021829367	0.022249818	0.020276666	0.021118999
rxn13365_d0_i	0.021370621	0.02140569	0.021513728	0.021339236	0.021228515
rxn00693_d0_f	0.021503568	0.021157742	0.021189213	0.021487832	0.020778298
rxn14142_d0_r	0.0216192	0.021457314	0.02165997	0.021635175	0.021627784
rxn14261_d0_r	0.0216192	0.021394849	0.02165997	0.021635175	0.021594644
rxn24358_d0_r	0.0216192	0.021488309	0.02165997	0.021635175	0.021644235
rxn24362_d0_r	0.0216192	0.021488309	0.02165997	0.021635175	0.021644235
rxn25649_d0_f	0.021724582	0.021698952	0.021286488	0.021569252	0.021797061
rxn00770_d0_f	0.02178979	0.019923449	0.022149324	0.021030307	0.019377947
rxn27927_d0	0.021799002	0.035082698	0.021269737	0.026029207	0.03507187
rxn00974_d0_f	0.021929622	0.022498488	0.027105689	0.027041078	0.017897725
rxn00175_d0	0.021948295	0.023723066	0.020021908	0.02202058	0.022207797
rxn10929_d0_i	0.022055311	0.021775287	0.022022843	0.022154603	0.022185756
rxn03137_d0_f	0.022115588	0.023205161	0.021202207	0.022418857	0.02282393
rxn02465_d0_r	0.02212833	0.017606946	0.022665376	0.02073008	0.020321436
rxn05465_d0_r	0.022161126	0.021524072	0.019518852	0.020575643	0.020542443
rxn01249_d0_r	0.022299528	0.022391021	0.022243738	0.022377491	0.02164638
rxn01257_d0_f	0.022372365	0.023749352	0.023129106	0.022319078	0.023420095
rxn19242_d0_r	0.022813797	0.023034573	0.022889495	0.02274561	0.0230937
rxn05331_d0_f	0.022838235	0.023649216	0.024706602	0.0249964	0.023244858
rxn03136_d0_r	0.023008168	0.032342315	0.031654954	0.032117486	0.032919526
rxn01111_d0_f	0.023204803	0.022512436	0.022403717	0.022001266	0.022441864
rxn01011_d0_r	0.023279548	0.023451209	0.023884892	0.023844838	0.024240136
rxn00689_d0_r	0.023286343	0.022147655	0.021932602	0.02101934	0.021048188
rxn19240_d0_r	0.023746371	0.024081826	0.02385807	0.0237118	0.024139643
rxn01643_d0_r	0.023749948	0.02634406	0.023218155	0.023887634	0.023954153
rxn27266_d0_f	0.023824096	0.02059564	0.02384603	0.023906112	0.023840308
rxn02474_d0_r	0.024301887	0.024893522	0.024194479	0.017957687	0.02470696
rxn01434_d0	0.02465786	0.02192013	0.024163567	0.02329453	0.022443764
rxn02476_d0_r	0.02495873	0.024813294	0.025491953	0.046786785	0.0464983
rxn03108_d0_r	0.025035918	0.021444798	0.024900913	0.02457571	0.023694277
rxn37018_d0_f	0.025098443	0.026725888	0.024467051	0.024566948	0.023366809
rxn25747_d0_r	0.02527821	0.02579832	0.027078629	0.000218034	0.0262357
rxn29733_d0_o	0.025600648	0.02610845	0.024364283	0.025302874	0.02507176
rxn19241_d0_r	0.025788069	0.026135087	0.025898933	0.02575326	0.026192307
rxn01739_d0_f	0.026037574	0.02495122	0	0.024468899	0
