rxn_ID,subsystems,kapp,Pred_cold,Pred_control,FBA_cold,FBA_control,Vbf_cold,Vbf_control,RES_cold,RES_control
rxn01644_d0,{'Lysine_and_threonine_metabolism_in_plants'},0.0009638307623975,0.0,0.0,0.021987977746122857,0.011608195302660738,0.1073350372107689,0.0415867812311592,623.7794284013995,91.69687995931623
rxn01652_d0_f,,0.0066942163313717,0.79970288,0.93281245,0.0,0.0,0.968201339785461,1.051857609342702,,
rxn01652_d0_r,,0.0066942163313717,0.0,0.0,0.0,0.0,0.968201339785461,1.051857609342702,,
rxn01673_d0_f,,0.011152222692893,0.0,0.0,0.0,0.0,1.2419444205607475,1.2419444205607475,,
rxn01673_d0_r,,0.011152222692893,1.1948162,1.1948162,0.0,0.0,1.2419444205607475,1.2419444205607475,,
rxn01678_d0_f,,0.011152222692893,0.0,0.0,0.0,0.0,1.2419444205607475,1.2419444205607475,,
rxn01678_d0_r,,0.011152222692893,1.1948162,1.1948162,0.0,0.0,1.2419444205607475,1.2419444205607475,,
rxn01739_d0_f,,29.494144881770072,0.0,0.0,0.1596418800942464,0.08428033464535974,0.9177619311450896,1.007789915958557,,
rxn01739_d0_r,,21.82188480151301,2.22571017,1.8619316000000001,0.0,0.0,0.6790261327101862,0.7456352960335185,,
rxn01740_d0_f,,0.0291799563294967,1.3708794,0.982803,0.0,0.0,1.7806724870723758,1.1794814011089938,,
rxn01740_d0_r,,0.0394392082743574,0.0,0.0,0.1596418800942464,0.08428033464535974,2.4067312607687037,1.5941700566236163,,
rxn01807_d0_f,,20.16662553337166,0.0,0.0,0.0,0.0,0.6979211241970579,1.6970252615978532,,
rxn01807_d0_r,,20.16662553337166,0.5163117000000002,0.5081067000000008,0.0,0.0,0.6979211241970579,1.6970252615978532,,
rxn01917_d0_f,,0.028922704069165,0.0,0.0,0.025194557834099157,0.013301057117632102,1.9094090180813383,1.485365184347586,,
rxn01917_d0_r,,0.0274402285384431,2.6665936,1.0667459,0.0,0.0,1.8115394640909517,1.4092306177207752,,
rxn01974_d0_f,,0.0116733201638217,0.0,0.0,0.021987977746122857,0.01160819530266074,1.299975372274129,1.299975372274129,,
rxn01974_d0_r,,0.0111477384361332,0.07408416000000007,0.21151697999999997,0.0,0.0,1.241445040498442,1.241445040498442,,
rxn01975_d0_f,,0.0066336299477112,0.03640955999999995,0.26732968999999995,0.0,0.0,1.2696310857084665,1.0252585545470518,,
rxn01975_d0_r,,0.0066336299477112,0.0,0.0,0.0,0.0,1.2696310857084665,1.0252585545470518,,
rxn02159_d0_f,,0.8740651759347059,0.68420167,0.9619301,0.008703574524506987,0.004594910640636507,1.3802488544657885,1.1448924543870336,,
rxn02159_d0_r,,0.858055763056225,0.0,0.0,0.0,0.0,1.3549681609951176,1.1239225581957817,,
rxn02212_d0,{'Chorismate_biosynthesis_in_plants'},0.0180862122741814,0.0,0.0,0.15964188009424646,0.08428033464535976,0.4068533839959874,0.3599545494704201,48.08023795901809,39.58453683990432
rxn02213_d0_f,,0.0394392082743572,0.0,0.0,0.15964188009424643,0.08428033464535975,2.406731260768688,1.5941700566236066,,
rxn02213_d0_r,,0.0291799563294967,1.3708794,0.982803,0.0,0.0,1.7806724870723758,1.1794814011089938,,
rxn02305_d0_f,,0.0266142602394294,1.16393014,0.982862,0.0,0.0,1.1890435724998454,1.0945689999023736,,
rxn02305_d0_r,,0.0266142602394294,0.0,0.0,0.0,0.0,1.1890435724998454,1.0945689999023736,,
rxn02320_d0_f,,2.844558674538031,0.12458759999999991,0.15683004999999994,0.0,0.0,1.0062531991806904,1.1759583906904774,,
rxn02320_d0_r,,2.8976318152806626,0.0,0.0,0.008703574524506992,0.004594910640636552,1.0250276467394188,1.1978991598281468,,
rxn02373_d0,{'Proline_metabolism_in_plants'},0.0012211769354222,0.0,0.0,0.021987977746122905,0.011608195302660745,0.1058513529987252,0.02568975193457,623.7763442825394,36.9538351934708
rxn02473_d0,{'Histidine_Biosynthesis_in_plants'},4.942448138950495,,0.0,,0.004594910640636552,,0.079680281532758,,0.0102393276662419
rxn02474_d0_f,,0.0189685635166194,0.0,0.0,0.0,0.0,1.626786602192969,1.3399486689865414,,
rxn02474_d0_r,,0.0189685635166194,1.4657147,0.93247485,0.0,0.0,1.626786602192969,1.3399486689865414,,
rxn02476_d0_f,,0.023627081266239,0.0,0.0,0.1596418800942464,0.08428033464535974,2.633053364195739,1.1011084393079127,,
